NAME	RAJD	DECJD	F0	DIST
J0930-2301	142.5117	-23.0292	0.5533823989	25
J0931-1902	142.82965478	-19.04861884	215.608810467629	3.722
J0932-3217	143.1631	-32.2873	0.51769836154	0.414
J0932-5327	143.0952	-53.4531	0.22767847553	0.359
J0934-4154	143.7425	-41.90542	1.75312729201	0.53
B0932-52	143.61765	-52.82425	0.692148271001	0.349
J0935+33	143.78	33.18	1.040042	1.728
J0940-5428	145.24258	-54.47794	11.4226702411	0.377
J0941-39	145.41	-39.7	1.70422082455	0.356
J0941-5244	145.42145	-52.734578	1.51847002943	0.398
B0940-55	145.562	-55.88197	1.50514304056	0.3
B0941-56	145.72677	-56.962003	1.23737204382	0.406
B0940+16	145.8754	16.5269	0.919609800526	1.487
J0943+2253	145.88499	22.884906	1.876261648496	3.555
B0942-13	146.12065	-13.911564	1.7535734003402	0.686
J0944+4106	146.075577	41.10126	0.448544888919	2.673
J0945-4833	146.40939	-48.554028	3.01581251928	0.352
B0943+10	146.532	9.865	0.91099098381	0.892
J0947+2740	146.8387	27.67875	1.17506907189	25
J0949-6902	147.3357	-69.044889	1.56246161188	1.677
J0951-71	147.85	-71.31694	4.708586	1.516
J0952-0607	148.0346725	-6.1231917	707.31444583103	5.6
B0950-38	148.0717	-38.6528	0.7278999804	0.523
B0950+08	148.28879	7.9266	3.951551372963	0.261
J0954-5430	148.52519	-54.514672	2.11483307064	0.433
B0953-52	148.872754	-53.071289	1.15992862694	0.401
J0955-6150	148.8	-61.83333	500.250125	2.172
J0957-06	149.2	-6.3	0.58015	2.461
J0957-5432	149.48337	-54.53442	4.91263619475	0.449
B0957-47	149.85922	-48.163186	1.49234604	0.361
J1000+08	150.15833	8.33278	2.270807	1.741
J1000-5149	150.11725	-51.832811	3.91118330957	0.127
B0959-54	150.4077	-55.11883	0.696073036122	0.3
J1001-5559	150.28583	-55.98339	0.60198290512	0.432
J1001-5939	150.3843	-59.65494	0.129305212778	1.24
J1002-5559	150.7413	-55.9936	1.2861721336	3.27
J1002-5919	150.5854	-59.327	1.4015628057	3.171
B1001-47	150.839704	-47.7836639	3.25654170022	0.369
J1005+30	151.38	30.2	*	1.99
J1006-6311	151.6525	-63.19478	1.1964621075	2.381
J1010+15	152.5	15.85	*	25
B1010-23	153.14053	-23.63956	0.397149259359	0.983
J1012-4235	153.053921	-42.598178	322.47662	0.372
J1012+5307	153.13932687	53.11729541	190.267837361373	0.7
J1012-5830	153.2288	-58.5071	0.46869334353	2.799
B1011-58	153.20196	-58.963472	1.21962189426	3.185
J1013-5934	153.3827	-59.574064	2.25784124141	3.144
J1014-48	153.58	-48.83	0.66278	0.379
J1015-5719	153.90817	-57.32022	7.1488991067	2.732
B1014-53	154.129729	-53.753961	1.29940016176	0.117
J1016-5819	154.050296	-58.31696	11.38507898552	2.587
J1016-5857	154.08817	-58.95336	9.31216108951	3.163
J1017+3011	154.40121	30.19614	2.2085533725	25
B1015-56	154.303463	-56.358478	1.986244776367	3.513
J1017-7156	154.46383654	-71.944893078	427.621905053455	1.807
J1018-1523	154.5	-15	12	1.087
B1016-16	154.66819	-16.70282	0.554110267968	25
J1019-5749	154.96725	-57.81831	6.1538950064	10.913
J1020-5921	155.0585	-59.3594	0.80755526467	0.938
J1020-6026	155.0475	-60.4351	7.11838566803	3.277
J1021-5601	155.3534	-56.0308	1.4924787334	2.429
J1022+1001	155.741643	10.031299	60.7794479478993	0.645
